Layer,Module,File Path,Type,Purpose,Dependencies,Key Exports,Lines of Code (Approx),Status
Infrastructure,Root Configuration,package.json,Config,NPM package configuration and dependencies,React 18.3.1 | Material-UI 7.3.4 | Axios 1.12.2 | React Hook Form 7.63.0 | Zod 4.1.11,N/A,57,Active
Infrastructure,TypeScript Config,tsconfig.json,Config,TypeScript compiler configuration,typescript 4.9.5,N/A,~30,Active
Infrastructure,Proxy Setup,src/setupProxy.js,Config,Development proxy for API requests,http-proxy-middleware 3.0.5,N/A,~20,Active
Infrastructure,Docker Build,Dockerfile,Config,Production Docker container configuration,nginx alpine,N/A,~50,Active
Infrastructure,Docker Compose,docker-compose.yml,Config,Docker orchestration for production,docker-compose,N/A,~80,Active
Infrastructure,Nginx Config,nginx.conf,Config,Web server configuration for production,nginx,N/A,~100,Active

Presentation,Application Entry,src/index.tsx,Component,React application entry point and root render,react-dom/client | App.tsx,createRoot,~30,Active
Presentation,Root Component,src/components/App.tsx,Component,Main app component with routing and providers,react-router-dom | ThemeProvider | AltusProvider,App (default),60,Active
Presentation,Theme Configuration,src/theme/theme.ts,Config,Material-UI theme customization,@mui/material,theme,~150,Active

Presentation - Pages,Landing Page,src/pages/LandingPage.tsx,Page,Application home page with product selection,@mui/material | useNavigate,LandingPage,~200,Active
Presentation - Pages,Wizard Page,src/pages/WizardPage.tsx,Page,Multi-step loan application wizard,MultiStepWizard | WizardDataProvider,WizardPage,~300,Active
Presentation - Pages,Tracking Page,src/pages/TrackingPage.tsx,Page,Loan application status tracking,LoanStatusTracker | recentTracking,TrackingPage,~250,Active
Presentation - Pages,API Test Page,src/pages/ApiTestPage.tsx,Page,API connectivity testing interface,apiTester | altusApi,ApiTestPage (default),~150,Active
Presentation - Pages,Not Found Page,src/pages/NotFoundPage.tsx,Page,404 error page,@mui/material,NotFoundPage,~50,Active

Presentation - Layout,App Layout,src/components/layout/AppLayout.tsx,Component,Common layout wrapper with header/footer,Header | Footer,AppLayout,~50,Active
Presentation - Layout,Header,src/components/layout/Header.tsx,Component,Application header with navigation,@mui/material | react-router-dom,Header,~150,Active
Presentation - Layout,Footer,src/components/layout/Footer.tsx,Component,Application footer with branding,@mui/material,Footer,~100,Active

Presentation - Wizard,Multi-Step Wizard,src/components/wizard/MultiStepWizard.tsx,Component,Core wizard navigation and flow control,WizardProvider | WizardProgress,MultiStepWizard,~200,Active
Presentation - Wizard,Wizard Context,src/components/wizard/WizardContext.tsx,Context,Wizard state management (steps/navigation),React Context API,WizardProvider | useWizard,~100,Active
Presentation - Wizard,Wizard Data Context,src/components/wizard/WizardDataContext.tsx,Context,Form data state for wizard steps,React Context API,WizardDataProvider | useWizardData,~200,Active
Presentation - Wizard,Wizard Progress,src/components/wizard/WizardProgress.tsx,Component,Visual progress indicator for wizard steps,@mui/material | WizardContext,WizardProgress,~80,Active

Presentation - Wizard Steps,Calculator Step,src/components/wizard/steps/CalculatorStep.tsx,Component,Loan amount and tenure calculator,loanCalculator | WizardDataContext,CalculatorStep,~300,Active
Presentation - Wizard Steps,Customer Step,src/components/wizard/steps/CustomerStep.tsx,Component,Customer details form (personal info bank NextOfKin Reference),react-hook-form | FormTextField | schemas,CustomerStep,~650,Active
Presentation - Wizard Steps,Documents Step,src/components/wizard/steps/DocumentsStep.tsx,Component,Document upload interface with OCR validation,Tesseract.js | docValidation | payslipMerger,DocumentsStep,~800,Active
Presentation - Wizard Steps,Review Step,src/components/wizard/steps/ReviewStep.tsx,Component,Application summary and review,WizardDataContext | applicationPdfGenerator,ReviewStep,~400,Active
Presentation - Wizard Steps,Confirmation Step,src/components/wizard/steps/ConfirmationStep.tsx,Component,Submission confirmation and success message,WizardDataContext,ConfirmationStep,~150,Active

Presentation - Form Components,Form Text Field,src/components/form/FormTextField.tsx,Component,Controlled text input with validation,react-hook-form | @mui/material,FormTextField,~50,Active
Presentation - Form Components,Form NRC Field,src/components/form/FormNRCField.tsx,Component,NRC input with format validation (NNNNNN/NN/N),react-hook-form | @mui/material,FormNRCField,~100,Active

Presentation - Common,Pill Component,src/components/common/Pill.tsx,Component,Styled label/badge component,@mui/material,Pill,~40,Active
Presentation - Common,API Connectivity Checker,src/components/common/ApiConnectivityChecker.tsx,Component,Real-time API health monitoring,axios | apiConfig,ApiConnectivityChecker,~150,Active

Presentation - Tracking,Loan Status Tracker,src/components/tracking/LoanStatusTracker.tsx,Component,Visual loan status timeline,@mui/material | altusApi,LoanStatusTracker,~300,Active
Presentation - Tracking,Status Tracker Example,src/components/tracking/LoanStatusTrackerExample.tsx,Component,Demo component for status tracker,LoanStatusTracker,LoanStatusTrackerExample,~100,Active

Presentation - Feedback,Snackbar Provider,src/components/feedback/SnackbarProvider.tsx,Context,Global notification/toast system,@mui/material | React Context,SnackbarProvider | useSnackbar,~100,Active

Presentation - Examples,Altus Context Example,src/components/AltusContextExample.tsx,Component,Example usage of AltusContext,AltusContext | useAltus,AltusContextExample,~200,Active
Presentation - Examples,API Tester Component,src/components/APITesterComponent.tsx,Component,Interactive API testing interface,apiTester | altusApi,APITesterComponent (default),~500,Active

Business Logic - API,Altus API Client,src/api/altusApi.ts,Service,Main API client for Altus backend integration,axios | http | types/altus,createRetailCustomer | submitLoanRequest | uploadDocuments | getLoanStatus | handleAltusResponse,~1000,Active
Business Logic - API,Altus API Examples,src/api/altusApiExamples.ts,Service,Example implementations and usage patterns,altusApi,enhancedCustomerLookup | createRetailCustomerExample | submitLoanRequestExample,~700,Active
Business Logic - API,HTTP Client,src/api/http.ts,Service,Configured Axios instance,axios,http,~30,Active
Business Logic - API,Loan API,src/api/loanApi.ts,Service,Loan-specific API operations,http | types,loanApi,~150,Active
Business Logic - API,Mock API,src/api/mockApi.ts,Service,Mock API for development/testing,N/A,mockSubmitApplication | mockTrackStatus | isMockMode,~200,Active
Business Logic - API,API Tester,src/api/apiTester.ts,Service,Comprehensive API testing utilities,altusApi,AltusApiTester | ApiTestResult,~400,Active
Business Logic - API,CORS Test Helper,src/api/corsTestHelper.ts,Service,CORS debugging and testing utilities,axios,corsTestFunctions,~150,Active
Business Logic - API,Quick Tester,src/api/quickTester.ts,Service,Quick API endpoint testing,altusApi,quickTest functions,~100,Active

Business Logic - Hooks,UAT Workflow Hook,src/hooks/useUATWorkflow.ts,Hook,User acceptance testing workflow orchestration,altusApi | WizardDataContext,useUATWorkflow | LoanApplicationWorkflow,~200,Active
