Category,Subcategory,Name,Type,Purpose,Status,Key Details
Project,Metadata,Name,String,Application Name,Active,altus-loan-application-portal
Project,Metadata,Version,String,Application Version,Active,1.0.0
Project,Metadata,Description,String,Purpose,Active,Zambian Loan Management System - Frontend Portal for ALTUS API
Project,Metadata,Owner,String,Repository Owner,Active,rndexponentbizolution-crypto
Project,Metadata,Current Branch,String,Git Branch,Active,main
Project,Metadata,Date,String,Creation Date,Active,December 3 2025
Project,Framework,React,String,UI Framework,Active,18.3.1
Project,Framework,TypeScript,String,Language,Active,4.9.5
Project,Framework,React Router,String,Routing,Active,7.9.3
Project,Framework,React Hook Form,String,Form Management,Active,7.63.0
Project,Dependencies,Material-UI,String,UI Components,Active,7.3.4
Project,Dependencies,Axios,String,HTTP Client,Active,1.12.2
Project,Dependencies,Zod,String,Schema Validation,Active,4.1.11
Project,Dependencies,React PDF,String,PDF Generation,Active,jspdf 3.0.3
Project,Dependencies,Tesseract.js,String,OCR,Active,5.1.1
Project,Dependencies,date-fns,String,Date Utilities,Active,4.1.0
Project,Dependencies,dayjs,String,Date Library,Active,1.11.18
Project,Dependencies,Emotion,String,CSS-in-JS,Active,@emotion/react 11.14.0
Project,Dependencies,classnames,String,CSS Class Utilities,Active,2.5.1
Project,Build,Start Command,String,Development,Active,react-scripts start
Project,Build,Build Command,String,Production,Active,react-scripts build
Project,Build,Test Command,String,Testing,Active,react-scripts test
Project,API,Base URL,String,API Gateway,Active,http://3.6.174.212:5010
Project,API,Loan Services Port,String,Port,Active,5012
Project,API,Customer Services Port,String,Port,Active,5011
Project,API,Product Services Port,String,Port,Active,5014
Project,API,Document Services Port,String,Port,Active,5013
Component,Layout,Header,TSX,Navigation Header,Active,Logo and navigation bar
Component,Layout,Footer,TSX,Application Footer,Active,Footer with links and info
Component,Layout,AppLayout,TSX,Main Layout Container,Active,Wraps all pages with Header/Footer
Component,Pages,LandingPage,TSX,Home Page,Active,Welcome and app overview
Component,Pages,WizardPage,TSX,Main Application,Active,Multi-step loan form
Component,Pages,TrackingPage,TSX,Loan Tracking,Active,Track application status
Component,Pages,ApiTestPage,TSX,API Testing,Active,Test API endpoints
Component,Pages,NotFoundPage,TSX,404 Error,Active,Page not found handler
Component,Wizard,MultiStepWizard,TSX,Form Container,Active,Manages multi-step workflow
Component,Wizard,WizardContext,TSX,Form Context,Active,Provides wizard state
Component,Wizard,WizardDataContext,TSX,Data Context,Active,Manages form data
Component,Wizard,WizardProgress,TSX,Progress Indicator,Active,Shows current step
Component,Wizard Steps,CustomerStep,TSX,Step 1,Active,Personal/Customer Info
Component,Wizard Steps,CalculatorStep,TSX,Step 2,Active,Loan Calculation
Component,Wizard Steps,DocumentsStep,TSX,Step 3,Active,Document Upload
Component,Wizard Steps,ReviewStep,TSX,Step 4,Active,Application Review
Component,Wizard Steps,ConfirmationStep,TSX,Step 5,Active,Success Confirmation
Component,Form,FormTextField,TSX,Input Field,Active,Reusable text field component
Component,Form,FormNRCField,TSX,NRC Input,Active,National ID input field
Component,Common,ApiConnectivityChecker,TSX,API Status,Active,Checks API availability
Component,Common,Pill,TSX,Badge,Active,Status badge component
Component,Feedback,SnackbarProvider,TSX,Notifications,Active,Toast notifications
Component,Tracking,LoanStatusTracker,TSX,Status Display,Active,Shows loan status
Component,Tracking,LoanStatusTrackerExample,TSX,Example,Active,Tracker example
Component,API,APITesterComponent,TSX,Testing Tool,Active,Manual API testing
Component,Context Example,AltusContextExample,TSX,Example,Active,Context usage example
API,Endpoints,Loan Balance,Function,Get Balance,Active,Retrieves customer loan balance
API,Endpoints,Loan Status,Function,Get Status,Active,Retrieves application status
API,Endpoints,Loan Details,Function,Get Details,Active,Retrieves full loan details
API,Endpoints,Loan Products,Function,Get Products,Active,Retrieves available loan products
API,Endpoints,Create Customer,Function,Create,Active,Creates new retail customer
API,Endpoints,Create Business Customer,Function,Create,Active,Creates business customer
API,Endpoints,Submit Loan Request,Function,Submit,Active,Submits new loan application
API,Endpoints,Submit Business Loan,Function,Submit,Active,Submits business loan
API,Endpoints,Upload Document,Function,Upload,Active,Uploads application documents
